소방서 및 안전센터명,위도,경도,시도,시군구,상세주소,상위 본부명
동작소방서-상도-119 안전센터,37.4990137,126.9294742,서울특별시,동작구,국사봉1길 17 (상도동),서울소방재난본부
동작소방서-노량진-119 안전센터,37.5136766,126.9469479,서울특별시,동작구,노량진로 187 (노량진동),서울소방재난본부
동작소방서-동작-119 안전센터,37.4946106,126.9176919,서울특별시,동작구,여의대방로16길 55(신대방동),서울소방재난본부
관악소방서-난곡-119 안전센터,37.4757048,126.9160379,서울특별시,관악구,난곡로 243 (신림동),서울소방재난본부
관악소방서-관악_신림-119 안전센터,37.4896367,126.9239763,서울특별시,관악구,봉천로 202 (신림동),서울소방재난본부
관악소방서-봉천-119 안전센터,37.4859836,126.9411197,서울특별시,관악구,은천로 54 (봉천동),서울소방재난본부
관악소방서-관악-119 안전센터,37.4739307,126.9523141,서울특별시,관악구,관악로 97 (봉천동),서울소방재난본부
서초소방서-우면-119 안전센터,37.4795644,127.0218874,서울특별시,서초구,남부순환로340길 49 (서초동),서울소방재난본부
서초소방서-잠원-119 안전센터,37.4990775,127.0116219,서울특별시,서초구,서초중앙로29길 6 (반포동),서울소방재난본부
서초소방서-서초-119 안전센터,37.4880256,127.0275962,서울특별시,서초구,효령로 400 (서초동),서울소방재난본부
서초소방서-양재-119 안전센터,37.469475,127.0408455,서울특별시,서초구,동산로 9 (양재동),서울소방재난본부
서초소방서-방배-119 안전센터,37.4755078,126.9882099,서울특별시,서초구,남부순환로 2155 (방배동),서울소방재난본부
서초소방서-반포-119 안전센터,37.498466,126.9919369,서울특별시,서초구,사평대로 67 (반포동),서울소방재난본부
강남소방서-개포-119 안전센터,37.474758,127.0499072,서울특별시,강남구,논현로 10길 19 (개포동),서울소방재난본부
강남소방서-수서-119 안전센터,37.4849425,127.092867,서울특별시,강남구,광평로31길 6 (수서동),서울소방재난본부
강남소방서-역삼-119 안전센터,37.4971347,127.0424589,서울특별시,강남구,역삼로 236 (역삼동),서울소방재난본부
강남소방서-영동-119 안전센터,37.5221429,127.0369506,서울특별시,강남구,도산대로 320 (논현동),서울소방재난본부
